
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00194647
T[K]                          1311.469            1311.469
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.25198             0.25327
MW[kg/kmol]                   27.11652            27.25605
Phi[-]                        1000.00000          0.79875
H[J/kg]                       -9.912987e+05       -1.188016e+06
U[J/kg]                       -1.393421e+06       -1.588080e+06
Conv.(%) H2                   0.000000e+00        8.556373e+01
Conv.(%) CH4                  0.000000e+00        9.740302e+01
Total species (kmol/s)        3.007620e-04        2.992223e-04
Element(kmol/s) C             1.820214e-05        1.820214e-05
Element(kmol/s) H             1.092129e-04        1.092129e-04
Element(kmol/s) O             1.139420e-04        1.139420e-04
Element(kmol/s) N             4.286390e-04        4.286390e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            4.373693e-04        6.313980e-05
H                             6.280676e-06        3.418921e-06
O                             6.624041e-05        6.634067e-05
O2                            6.077874e-02        4.710058e-02
OH                            2.682261e-04        3.917340e-04
H2O                           1.121822e-01        1.196892e-01
HO2                           4.820151e-05        1.900157e-05
H2O2                          6.748068e-06        1.531722e-06
C                             4.124587e-11        2.802891e-12
CH                            2.364777e-09        3.760143e-10
CH2                           2.816794e-07        8.055325e-08
CH2(S)                        1.138491e-08        3.090415e-09
CH3                           2.564950e-05        3.869563e-06
CH4                           1.778965e-03        4.619933e-05
CO                            8.319266e-03        2.878472e-03
CO2                           7.963734e-02        9.353367e-02
HCO                           4.869587e-07        9.708258e-08
CH2O                          8.196805e-05        6.924194e-06
CH2OH                         1.492019e-07        2.788812e-08
CH3O                          2.728286e-07        2.071798e-08
CH3OH                         4.224013e-05        3.469449e-06
C2H                           9.567224e-11        3.885485e-11
C2H2                          2.335351e-06        4.232070e-07
C2H3                          9.858768e-08        1.279793e-08
C2H4                          5.273633e-05        1.736765e-06
C2H5                          5.832372e-07        2.811772e-08
C2H6                          5.171653e-05        3.624655e-07
HCCO                          2.018934e-07        3.618445e-08
CH2CO                         1.877567e-05        1.366952e-06
HCCOH                         8.340548e-09        7.004370e-09
N                             1.398521e-10        1.075816e-10
NH                            4.795390e-10        6.793771e-10
NH2                           8.699808e-09        2.354641e-09
NH3                           4.237647e-08        8.745583e-09
NNH                           1.528801e-10        9.136530e-11
NO                            1.332214e-05        1.568066e-05
NO2                           2.373342e-07        1.020144e-07
N2O                           2.036741e-05        1.689756e-05
HNO                           5.862686e-09        4.894917e-09
CN                            9.542184e-13        4.323543e-13
HCN                           1.459063e-07        9.299562e-08
H2CN                          3.723372e-12        5.071698e-13
HCNN                          1.675595e-10        1.937864e-11
HCNO                          4.354187e-08        2.707526e-08
HOCN                          4.975093e-10        7.189046e-10
HNCO                          1.097315e-06        3.823789e-07
NCO                           7.345931e-09        5.483968e-09
N2                            7.361534e-01        7.361549e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          4.137252e-09        7.397878e-11
C3H8                          1.156795e-06        7.900904e-09
CH2CHO                        1.235703e-07        5.187880e-09
CH3CHO                        2.950045e-06        1.307390e-07
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.882902e-03        8.536416e-04
H                             1.689584e-04        9.244671e-05
O                             1.122701e-04        1.130186e-04
O2                            5.150659e-02        4.012050e-02
OH                            4.276684e-04        6.278075e-04
H2O                           1.688587e-01        1.810855e-01
HO2                           3.960059e-05        1.569132e-05
H2O2                          5.379670e-06        1.227397e-06
C                             9.311832e-11        6.360481e-12
CH                            4.925456e-09        7.872082e-10
CH2                           5.445329e-07        1.565241e-07
CH2(S)                        2.200892e-08        6.005027e-09
CH3                           4.626039e-05        7.014898e-06
CH4                           3.006878e-03        7.848975e-05
CO                            8.053892e-03        2.800991e-03
CO2                           4.906922e-02        5.792811e-02
HCO                           4.550494e-07        9.118780e-08
CH2O                          7.402545e-05        6.285425e-06
CH2OH                         1.303679e-07        2.449313e-08
CH3O                          2.383889e-07        1.819586e-08
CH3OH                         3.574700e-05        2.951235e-06
C2H                           1.036475e-10        4.231042e-11
C2H2                          2.432083e-06        4.430045e-07
C2H3                          9.884473e-08        1.289732e-08
C2H4                          5.097403e-05        1.687366e-06
C2H5                          5.441938e-07        2.637044e-08
C2H6                          4.663692e-05        3.285460e-07
HCCO                          1.334335e-07        2.403776e-08
CH2CO                         1.211149e-05        8.863076e-07
HCCOH                         5.380180e-09        4.541510e-09
N                             2.707433e-10        2.093417e-10
NH                            8.660290e-10        1.233243e-09
NH2                           1.472311e-08        4.005380e-09
NH3                           6.747121e-08        1.399624e-08
NNH                           1.428426e-10        8.580584e-11
NO                            1.203926e-05        1.424358e-05
NO2                           1.398908e-07        6.043930e-08
N2O                           1.254841e-05        1.046420e-05
HNO                           5.125931e-09        4.301803e-09
CN                            9.945069e-13        4.529276e-13
HCN                           1.463950e-07        9.378722e-08
H2CN                          3.601515e-12        4.930957e-13
HCNN                          1.107311e-10        1.287221e-11
HCNO                          2.744227e-08        1.715200e-08
HOCN                          3.135553e-10        4.554212e-10
HNCO                          6.915833e-07        2.422345e-07
NCO                           4.740844e-09        3.557400e-09
N2                            7.125693e-01        7.162373e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.603631e-09        4.679545e-11
C3H8                          7.113467e-07        4.883494e-09
CH2CHO                        7.784403e-08        3.284960e-09
CH3CHO                        1.815880e-06        8.088958e-08
-----------------------------------------------------------------------------
