Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      R2.in(6)       R2.out(7)      R3.in(8)       R3.out(9)      R4.in(10)      R4.out(11)     R5.in(12)      R5.out(13)     R6.in(14)      R6.out(15)     R7.in(16)      R7.out(17)     R8.in(18)      R8.out(19)     R9.in(20)      R9.out(21)     R10.in(22)     R10.out(23)    R11.in(24)     R11.out(25)    R12.in(26)     R12.out(27)    R13.in(28)     R13.out(29)    R14.in(30)     R14.out(31)    R15.in(32)     R15.out(33)    R16.in(34)     R16.out(35)    
0      0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
1      0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.309262e-13   9.447034e-14   1.424544e-04   0.000000e+00   0.000000e+00   1.249642e-04   2.917639e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
2      1.787535e-05   3.667158e-04   1.064692e-04   1.934673e-03   0.000000e+00   0.000000e+00   5.470023e-05   9.956643e-04   8.546599e-04   1.153945e-03   0.000000e+00   0.000000e+00   9.943553e-14   9.961956e-14   9.625324e-05   3.897899e-04   6.916568e-05   7.057381e-04   1.176689e-04   1.553464e-04   5.695709e-11   3.137224e-05   2.770682e-07   2.779463e-07   1.121436e-05   5.624847e-04   2.917639e-04   1.326934e-03   5.384487e-04   1.127373e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
3      2.887913e-04   1.236274e-03   1.081005e-03   3.819544e-03   2.505130e-04   2.619395e-04   7.251326e-04   2.923749e-03   1.836230e-03   2.289619e-03   7.709238e-04   6.758245e-03   2.110940e-07   2.110960e-07   7.119637e-04   1.419264e-03   5.810877e-03   2.336124e-02   1.444744e-03   3.699116e-03   2.618518e-04   3.285868e-04   1.125317e-06   1.128688e-06   9.847490e-05   1.086663e-03   1.127373e-03   3.806177e-03   1.105032e-03   2.148885e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
4      9.661849e-04   2.501219e-03   2.739042e-03   6.013194e-03   7.114054e-04   7.309757e-04   1.610077e-02   2.297111e-02   3.071329e-03   3.611515e-03   3.755368e-03   2.014892e-02   8.572135e-07   8.572208e-07   4.660649e-03   1.081610e-02   1.849287e-02   5.005042e-02   6.192937e-03   1.207550e-02   7.307309e-04   8.135963e-04   2.240645e-06   2.246891e-06   2.396296e-04   1.641150e-03   2.148885e-03   6.315934e-03   1.746747e-03   3.204680e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
5      5.582780e-03   9.933383e-03   1.729202e-02   2.299400e-02   1.359786e-03   1.383965e-03   3.664778e-02   5.010205e-02   1.097026e-02   1.181960e-02   9.049301e-03   3.124531e-02   1.706464e-06   1.706477e-06   1.309541e-02   2.460931e-02   3.006779e-02   6.281028e-02   1.225110e-02   2.085009e-02   1.383501e-03   1.473173e-03   3.445047e-06   3.454069e-06   4.701702e-04   2.231242e-03   3.204680e-03   8.584713e-03   3.176891e-03   5.110632e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
6      1.227859e-02   1.822954e-02   3.710352e-02   4.385773e-02   3.492928e-03   3.527783e-03   4.893722e-02   6.287913e-02   2.140708e-02   2.233026e-02   1.440560e-02   3.909158e-02   2.623288e-06   2.623307e-06   2.138506e-02   3.526990e-02   3.841345e-02   6.959589e-02   1.714554e-02   2.737994e-02   3.526600e-03   3.630587e-03   4.728722e-06   4.740112e-06   1.113528e-03   3.159833e-03   5.110632e-03   1.177026e-02   5.010053e-03   7.286305e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
7      1.789965e-02   2.440876e-02   4.774333e-02   5.428019e-02   7.281005e-03   7.318551e-03   5.636508e-02   6.949554e-02   2.813759e-02   2.902034e-02   1.917828e-02   4.531385e-02   3.600009e-06   3.600032e-06   2.753162e-02   4.232083e-02   4.478276e-02   7.444254e-02   2.154825e-02   3.311829e-02   7.316095e-03   7.424750e-03   6.679647e-06   6.692724e-06   2.187610e-03   4.452876e-03   7.286305e-03   1.479732e-02   6.903009e-03   9.418396e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
8      2.270566e-02   2.945744e-02   5.391178e-02   6.012197e-02   1.164049e-02   1.167686e-02   6.165867e-02   7.402904e-02   3.315490e-02   3.399816e-02   2.349206e-02   5.038549e-02   5.082974e-06   5.083000e-06   3.281229e-02   4.814278e-02   4.998754e-02   7.835704e-02   2.545288e-02   3.780959e-02   1.167294e-02   1.178273e-02   9.414494e-06   9.428558e-06   3.407739e-03   5.846446e-03   9.418396e-03   1.748073e-02   8.745345e-03   1.143982e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
9      2.722879e-02   3.413887e-02   5.853169e-02   6.447664e-02   1.611947e-02   1.615473e-02   6.604824e-02   7.781158e-02   3.758038e-02   3.839362e-02   2.712837e-02   5.428798e-02   7.160779e-06   7.160807e-06   3.725696e-02   5.279347e-02   5.402279e-02   8.136570e-02   2.875035e-02   4.154663e-02   1.614930e-02   1.626042e-02   1.243308e-05   1.244769e-05   4.658097e-03   7.238386e-03   1.143982e-02   1.988275e-02   1.054116e-02   1.337847e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
