Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      R2.in(6)       R2.out(7)      R3.in(8)       R3.out(9)      R4.in(10)      R4.out(11)     R5.in(12)      R5.out(13)     R6.in(14)      R6.out(15)     R7.in(16)      R7.out(17)     R8.in(18)      R8.out(19)     R9.in(20)      R9.out(21)     R10.in(22)     R10.out(23)    R11.in(24)     R11.out(25)    R12.in(26)     R12.out(27)    R13.in(28)     R13.out(29)    R14.in(30)     R14.out(31)    R15.in(32)     R15.out(33)    R16.in(34)     R16.out(35)    
0      0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
1      0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.052035e-22   7.591003e-23   2.082684e-13   0.000000e+00   0.000000e+00   1.826978e-13   3.919671e-13   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
2      2.596345e-14   7.751818e-13   2.250598e-13   3.721019e-12   0.000000e+00   0.000000e+00   1.156280e-13   2.388565e-12   1.644420e-12   1.500981e-12   0.000000e+00   0.000000e+00   7.989972e-23   7.889824e-23   1.896410e-13   1.646039e-12   2.920789e-13   2.907585e-12   4.969026e-13   6.396493e-13   8.327128e-20   4.592982e-17   4.050738e-16   3.285171e-16   5.516125e-15   6.880028e-13   3.919671e-13   9.232462e-11   6.987064e-13   1.361063e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
3      8.005048e-13   3.128968e-12   2.516701e-12   1.143458e-11   2.930477e-13   2.798176e-13   2.702065e-12   1.259835e-11   5.214117e-12   4.652036e-12   4.881292e-11   1.154413e-09   2.495014e-16   2.234024e-16   4.285982e-11   5.948939e-11   9.601257e-10   2.994080e-09   9.999956e-11   3.277641e-10   2.797239e-13   1.978885e-13   1.371270e-15   1.028287e-15   7.575703e-14   1.085753e-12   1.361063e-12   2.200447e-10   1.336613e-12   2.314576e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
4      2.130472e-11   2.721783e-11   1.606551e-11   3.475401e-11   1.067395e-12   1.014491e-12   1.996644e-09   1.746514e-09   1.609654e-11   1.394703e-11   2.711660e-10   4.462888e-09   7.809610e-16   6.753084e-16   4.869533e-10   9.036999e-10   3.831333e-09   1.062476e-08   4.966824e-10   1.135097e-09   1.014151e-12   7.033654e-13   2.211896e-15   1.587022e-15   3.771343e-13   1.629830e-12   2.314576e-12   2.926056e-10   4.771460e-12   5.651426e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
5      4.044963e-10   4.651983e-10   1.205022e-09   1.038949e-09   3.288699e-12   3.114382e-12   7.271209e-09   6.375023e-09   4.630829e-10   3.629163e-10   6.924336e-10   7.213481e-09   1.205308e-15   1.020731e-15   1.480309e-09   2.498520e-09   6.376842e-09   1.596915e-08   1.073125e-09   1.994945e-09   3.113337e-12   2.125467e-12   3.321333e-15   2.308161e-15   3.739622e-12   4.774117e-12   5.651426e-12   3.461478e-10   6.130383e-11   5.513589e-11   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
6      1.207616e-09   1.316209e-09   4.318163e-09   3.315723e-09   7.255648e-11   6.816582e-11   1.123637e-08   9.842953e-09   1.508466e-09   1.151724e-09   1.128631e-09   8.767063e-09   1.752997e-15   1.461926e-15   2.470751e-09   3.820600e-09   7.889346e-09   1.850043e-08   1.534450e-09   2.621278e-09   6.814292e-11   4.557456e-11   9.502276e-15   6.449125e-15   2.132743e-11   1.995186e-11   5.513589e-11   4.855731e-10   1.791031e-10   1.574131e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
7      1.882746e-09   2.002891e-09   6.716527e-09   4.996901e-09   2.615091e-10   2.448220e-10   1.326386e-08   1.160438e-08   2.351771e-09   1.779333e-09   1.499133e-09   1.009035e-08   4.897966e-15   4.039429e-15   3.167600e-09   4.677090e-09   9.129805e-09   2.045067e-08   1.909945e-09   3.206534e-09   2.447398e-10   1.616124e-10   3.940463e-14   2.633696e-14   5.752902e-11   5.074432e-11   1.574131e-10   6.670131e-10   2.904239e-10   2.549397e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
8      2.340321e-09   2.460506e-09   7.988500e-09   5.893803e-09   4.774124e-10   4.459452e-10   1.478464e-08   1.286418e-08   2.861377e-09   2.155751e-09   1.872215e-09   1.133062e-08   2.000233e-14   1.637588e-14   3.764804e-09   5.466461e-09   1.029007e-08   2.229326e-08   2.292439e-09   3.759357e-09   4.457954e-10   2.914061e-10   1.011243e-13   6.699689e-14   9.592609e-11   8.325471e-11   2.549397e-10   8.363187e-10   3.751276e-10   3.297948e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
9      2.750749e-09   2.876758e-09   8.916976e-09   6.568715e-09   6.553501e-10   6.111075e-10   1.621532e-08   1.408578e-08   3.253109e-09   2.444190e-09   2.223530e-09   1.240984e-08   5.088264e-14   4.147849e-14   4.321186e-09   6.175697e-09   1.130363e-08   2.388949e-08   2.639805e-09   4.253727e-09   6.109023e-10   3.958931e-10   1.680785e-13   1.107883e-13   1.271698e-10   1.096833e-10   3.297948e-10   9.798651e-10   4.494178e-10   3.951800e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
10     3.117559e-09   3.246230e-09   9.799894e-09   7.201954e-09   7.957470e-10   7.409816e-10   1.746085e-08   1.513902e-08   3.606639e-09   2.702271e-09   2.533569e-09   1.341287e-08   8.414123e-14   6.841662e-14   4.817366e-09   6.805729e-09   1.224048e-08   2.540301e-08   2.944443e-09   4.700539e-09   7.407327e-10   4.763949e-10   2.234761e-13   1.468601e-13   1.515745e-10   1.303534e-10   3.951800e-10   1.115205e-09   5.129129e-10   4.508591e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
11     3.435476e-09   3.566108e-09   1.056243e-08   7.743799e-09   9.109145e-10   8.471622e-10   1.862926e-08   1.611434e-08   3.906452e-09   2.918872e-09   2.816727e-09   1.440797e-08   1.115369e-13   9.055632e-14   5.268421e-09   7.389857e-09   1.316265e-08   2.693605e-08   3.229498e-09   5.132142e-09   8.468776e-10   5.409314e-10   2.669620e-13   1.751424e-13   1.712997e-10   1.471125e-10   4.508591e-10   1.241232e-09   5.668880e-10   4.981605e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
12     3.724697e-09   3.857840e-09   1.126506e-08   8.238823e-09   1.005136e-09   9.337227e-10   1.979773e-08   1.708238e-08   4.174599e-09   3.110756e-09   3.087774e-09   1.541547e-08   1.330167e-13   1.079052e-13   5.704261e-09   7.964975e-09   1.409343e-08   2.851146e-08   3.505692e-09   5.558577e-09   9.334092e-10   5.924542e-10   3.021306e-13   1.980644e-13   1.872945e-10   1.607723e-10   4.981605e-10   1.359987e-09   6.146890e-10   5.400133e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
13     4.003436e-09   4.139787e-09   1.195798e-08   8.723612e-09   1.084059e-09   1.005976e-09   2.099106e-08   1.806896e-08   4.430271e-09   3.292396e-09   3.352547e-09   1.644014e-08   1.504255e-13   1.219815e-13   6.136463e-09   8.541232e-09   1.503853e-08   3.012881e-08   3.777558e-09   5.985389e-09   1.005638e-09   6.345738e-10   3.307861e-13   2.168239e-13   2.006654e-10   1.722669e-10   5.400133e-10   1.475348e-09   6.593889e-10   5.791113e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
14     4.278632e-09   4.418385e-09   1.266027e-08   9.211724e-09   1.153415e-09   1.069280e-09   2.221186e-08   1.907631e-08   4.682444e-09   3.470543e-09   3.615716e-09   1.748973e-08   1.646729e-13   1.335272e-13   6.570423e-09   9.124317e-09   1.600534e-08   3.179535e-08   4.049585e-09   6.418326e-09   1.068921e-09   6.708163e-10   3.548548e-13   2.326756e-13   2.124150e-10   1.824383e-10   5.791113e-10   1.590831e-09   7.025171e-10   6.168316e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
15     4.554252e-09   4.697419e-09   1.337505e-08   9.705980e-09   1.217359e-09   1.127510e-09   2.346656e-08   2.011037e-08   4.934529e-09   3.647832e-09   3.881856e-09   1.857195e-08   1.767119e-13   1.433123e-13   7.011299e-09   9.720005e-09   1.700123e-08   3.351939e-08   4.326039e-09   6.862678e-09   1.127131e-09   7.036911e-10   3.760890e-13   2.467524e-13   2.232514e-10   1.918805e-10   6.168316e-10   1.708375e-09   7.450591e-10   6.540660e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
16     4.833911e-09   4.980365e-09   1.410723e-08   1.021029e-08   1.278425e-09   1.183023e-09   2.476230e-08   2.117771e-08   5.189577e-09   3.826606e-09   4.154496e-09   1.969268e-08   1.874029e-13   1.520300e-13   7.463818e-09   1.033349e-08   1.803195e-08   3.530769e-08   4.609907e-09   7.322200e-09   1.182626e-09   7.347123e-10   3.957465e-13   2.598633e-13   2.336102e-10   2.009584e-10   6.540660e-10   1.829381e-09   7.877619e-10   6.914809e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
