
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0444969
T[K]                          1802.267            1296.947
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.18649             0.25946
MW[kg/kmol]                   27.58029            27.61249
Phi[-]                        1.00001             1.00001
H[J/kg]                       -1.002059e+06       -1.749769e+06
U[J/kg]                       -1.545378e+06       -2.140296e+06
Conv.(%) O2                   0.000000e+00        5.777122e+01
Conv.(%) CH4                  0.000000e+00        9.853895e+01
Conv.(%) N2                   0.000000e+00        -2.081480e-05
Total species (kmol/s)        7.251555e-02        7.243098e-02
Element(kmol/s) C             6.877348e-03        6.877348e-03
Element(kmol/s) H             2.750939e-02        2.750939e-02
Element(kmol/s) O             2.750925e-02        2.750925e-02
Element(kmol/s) N             1.034873e-01        1.034873e-01
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            8.742854e-05        5.126838e-05
H                             1.974150e-06        9.452084e-07
O                             1.152542e-05        2.007572e-06
O2                            1.820664e-03        7.688441e-04
OH                            3.476288e-04        5.575883e-05
H2O                           1.229074e-01        1.233990e-01
HO2                           1.925079e-07        5.362041e-07
H2O2                          2.689932e-08        1.573167e-07
C                             1.154848e-11        1.524406e-14
CH                            1.550712e-10        1.438798e-13
CH2                           1.619153e-08        4.559387e-11
CH2(S)                        6.491657e-10        7.016920e-13
CH3                           5.335610e-07        3.302859e-09
CH4                           1.602508e-06        2.341341e-08
CO                            2.315897e-03        7.502961e-04
CO2                           1.476869e-01        1.501536e-01
HCO                           2.848587e-09        9.951264e-11
CH2O                          3.502440e-07        4.220773e-09
CH2OH                         1.904067e-09        2.844469e-11
CH3O                          1.627992e-10        2.903181e-12
CH3OH                         4.944341e-08        3.168533e-09
C2H                           1.025934e-12        1.942233e-15
C2H2                          2.701719e-09        1.252437e-10
C2H3                          5.351783e-12        8.587795e-14
C2H4                          6.868435e-10        7.979593e-12
C2H5                          3.790829e-12        1.195004e-14
C2H6                          5.717321e-11        3.206611e-13
HCCO                          4.336682e-10        4.562310e-12
CH2CO                         2.468483e-09        6.016194e-11
HCCOH                         2.317364e-10        1.716297e-12
N                             1.124495e-10        2.448006e-11
NH                            1.472322e-10        1.295653e-10
NH2                           2.314561e-09        3.213162e-10
NH3                           2.042966e-08        5.597614e-09
NNH                           8.440100e-11        2.241556e-11
NO                            8.334478e-05        8.313046e-05
NO2                           2.222404e-08        5.945117e-08
N2O                           7.407153e-08        1.221007e-07
HNO                           2.466429e-09        2.249814e-08
CN                            3.709529e-11        1.612735e-12
HCN                           8.251460e-08        3.557867e-08
H2CN                          7.453452e-14        5.530369e-14
HCNN                          9.709212e-13        2.614537e-14
HCNO                          2.488512e-08        5.870114e-10
HOCN                          2.509577e-09        1.160847e-10
HNCO                          1.855712e-07        1.986073e-08
NCO                           2.094257e-09        8.438853e-11
N2                            7.247341e-01        7.247342e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.934216e-18        1.517601e-21
C3H8                          1.416422e-16        8.160127e-19
CH2CHO                        5.890252e-14        8.680449e-15
CH3CHO                        2.484442e-12        1.630717e-14
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.196084e-03        7.022063e-04
H                             5.401551e-05        2.589242e-05
O                             1.986839e-05        3.464845e-06
O2                            1.569299e-03        6.634697e-04
OH                            5.637506e-04        9.052980e-05
H2O                           1.881666e-01        1.891398e-01
HO2                           1.608624e-07        4.485831e-07
H2O2                          2.181135e-08        1.277093e-07
C                             2.651823e-11        3.504508e-14
CH                            3.285129e-10        3.051601e-13
CH2                           3.183626e-08        8.975265e-11
CH2(S)                        1.276408e-09        1.381298e-12
CH3                           9.787674e-07        6.065858e-09
CH4                           2.754948e-06        4.029812e-08
CO                            2.280369e-03        7.396482e-04
CO2                           9.255489e-02        9.421061e-02
HCO                           2.707453e-09        9.469268e-11
