Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      
0      0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
1      0.000000e+00   9.349951e-03   9.349951e-03   2.668567e-03   
2      1.334284e-03   3.390987e-03   3.390987e-03   1.142667e-03   
3      5.713333e-04   2.599395e-03   2.599395e-03   8.609667e-04   
4      4.304833e-04   2.405410e-03   2.405410e-03   7.860087e-04   
5      3.930043e-04   2.345359e-03   2.345359e-03   7.623156e-04   
6      3.811578e-04   2.325587e-03   2.325587e-03   7.543470e-04   
7      3.771735e-04   2.318934e-03   2.318934e-03   7.515966e-04   
8      3.757983e-04   2.316672e-03   2.316672e-03   7.506350e-04   
9      3.753175e-04   2.315897e-03   2.315897e-03   7.502961e-04   
