Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      
0      0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
1      0.000000e+00   1.734554e-03   1.734554e-03   1.683454e-03   
2      8.417268e-04   6.235827e-04   6.235827e-04   6.130030e-04   
3      3.065015e-04   2.734719e-04   2.734719e-04   2.707370e-04   
4      1.353685e-04   1.546076e-04   1.546076e-04   1.536872e-04   
5      7.684359e-05   1.106164e-04   1.106164e-04   1.101751e-04   
6      5.508756e-05   9.362342e-05   9.362342e-05   9.333053e-05   
7      4.666526e-05   8.696926e-05   8.696926e-05   8.672821e-05   
8      4.336411e-05   8.436212e-05   8.436212e-05   8.414040e-05   
9      4.207020e-05   8.334478e-05   8.334478e-05   8.313046e-05   
